dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,group_results,group_labels
100,20,30,0.0,3,28,0.9794,"[{'group': -1, 'count': 28}, {'group': 1, 'count': 37}, {'group': 0, 'count': 48}]","[0, 1, 0, -1, 0, 0, 1, 0, -1, 1, -1, 0, 1, -1, 1, -1, 0, -1, -1, 1, 0, 1, -1, 0, 0, -1, 1, 0, -1, 1, 0, 1, -1, -1, 0, 0, -1, 1, -1, 1, 0, 1, -1, 1, 0, 0, 1, 1, -1, 0, -1, 0, -1, 1, 0, -1, -1, -1, -1, 1, 0, 1, -1, 0, -1, 0, 1, 0, 1, -1, 0, 1, -1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, -1, 0, 0, 1]"
100,20,29,0.0,3,28,0.9794,"[{'group': -1, 'count': 28}, {'group': 1, 'count': 37}, {'group': 0, 'count': 48}]","[0, 1, 0, -1, 0, 0, 1, 0, -1, 1, -1, 0, 1, -1, 1, -1, 0, -1, -1, 1, 0, 1, -1, 0, 0, -1, 1, 0, -1, 1, 0, 1, -1, -1, 0, 0, -1, 1, -1, 1, 0, 1, -1, 1, 0, 0, 1, 1, -1, 0, -1, 0, -1, 1, 0, -1, -1, -1, -1, 1, 0, 1, -1, 0, -1, 0, 1, 0, 1, -1, 0, 1, -1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, -1, 0, 0, 1]"
100,20,28,0.0,3,28,0.9794,"[{'group': -1, 'count': 28}, {'group': 1, 'count': 37}, {'group': 0, 'count': 48}]","[0, 1, 0, -1, 0, 0, 1, 0, -1, 1, -1, 0, 1, -1, 1, -1, 0, -1, -1, 1, 0, 1, -1, 0, 0, -1, 1, 0, -1, 1, 0, 1, -1, -1, 0, 0, -1, 1, -1, 1, 0, 1, -1, 1, 0, 0, 1, 1, -1, 0, -1, 0, -1, 1, 0, -1, -1, -1, -1, 1, 0, 1, -1, 0, -1, 0, 1, 0, 1, -1, 0, 1, -1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, -1, 0, 0, 1]"
100,20,27,0.0,3,28,0.9794,"[{'group': -1, 'count': 28}, {'group': 1, 'count': 37}, {'group': 0, 'count': 48}]","[0, 1, 0, -1, 0, 0, 1, 0, -1, 1, -1, 0, 1, -1, 1, -1, 0, -1, -1, 1, 0, 1, -1, 0, 0, -1, 1, 0, -1, 1, 0, 1, -1, -1, 0, 0, -1, 1, -1, 1, 0, 1, -1, 1, 0, 0, 1, 1, -1, 0, -1, 0, -1, 1, 0, -1, -1, -1, -1, 1, 0, 1, -1, 0, -1, 0, 1, 0, 1, -1, 0, 1, -1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, -1, 0, 0, 1]"
100,20,26,0.0,3,28,0.9794,"[{'group': -1, 'count': 28}, {'group': 1, 'count': 37}, {'group': 0, 'count': 48}]","[0, 1, 0, -1, 0, 0, 1, 0, -1, 1, -1, 0, 1, -1, 1, -1, 0, -1, -1, 1, 0, 1, -1, 0, 0, -1, 1, 0, -1, 1, 0, 1, -1, -1, 0, 0, -1, 1, -1, 1, 0, 1, -1, 1, 0, 0, 1, 1, -1, 0, -1, 0, -1, 1, 0, -1, -1, -1, -1, 1, 0, 1, -1, 0, -1, 0, 1, 0, 1, -1, 0, 1, -1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, -1, 0, 0, 1]"
100,20,25,0.0,3,28,0.9794,"[{'group': -1, 'count': 28}, {'group': 1, 'count': 37}, {'group': 0, 'count': 48}]","[0, 1, 0, -1, 0, 0, 1, 0, -1, 1, -1, 0, 1, -1, 1, -1, 0, -1, -1, 1, 0, 1, -1, 0, 0, -1, 1, 0, -1, 1, 0, 1, -1, -1, 0, 0, -1, 1, -1, 1, 0, 1, -1, 1, 0, 0, 1, 1, -1, 0, -1, 0, -1, 1, 0, -1, -1, -1, -1, 1, 0, 1, -1, 0, -1, 0, 1, 0, 1, -1, 0, 1, -1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, -1, 0, 0, 1]"
100,20,24,0.0,3,28,0.9794,"[{'group': -1, 'count': 28}, {'group': 1, 'count': 37}, {'group': 0, 'count': 48}]","[0, 1, 0, -1, 0, 0, 1, 0, -1, 1, -1, 0, 1, -1, 1, -1, 0, -1, -1, 1, 0, 1, -1, 0, 0, -1, 1, 0, -1, 1, 0, 1, -1, -1, 0, 0, -1, 1, -1, 1, 0, 1, -1, 1, 0, 0, 1, 1, -1, 0, -1, 0, -1, 1, 0, -1, -1, -1, -1, 1, 0, 1, -1, 0, -1, 0, 1, 0, 1, -1, 0, 1, -1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, -1, 0, 0, 1]"
100,20,23,0.0,3,28,0.9794,"[{'group': -1, 'count': 28}, {'group': 1, 'count': 37}, {'group': 0, 'count': 48}]","[0, 1, 0, -1, 0, 0, 1, 0, -1, 1, -1, 0, 1, -1, 1, -1, 0, -1, -1, 1, 0, 1, -1, 0, 0, -1, 1, 0, -1, 1, 0, 1, -1, -1, 0, 0, -1, 1, -1, 1, 0, 1, -1, 1, 0, 0, 1, 1, -1, 0, -1, 0, -1, 1, 0, -1, -1, -1, -1, 1, 0, 1, -1, 0, -1, 0, 1, 0, 1, -1, 0, 1, -1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, -1, 0, 0, 1]"
100,20,22,0.0,3,28,0.9794,"[{'group': -1, 'count': 28}, {'group': 1, 'count': 37}, {'group': 0, 'count': 48}]","[0, 1, 0, -1, 0, 0, 1, 0, -1, 1, -1, 0, 1, -1, 1, -1, 0, -1, -1, 1, 0, 1, -1, 0, 0, -1, 1, 0, -1, 1, 0, 1, -1, -1, 0, 0, -1, 1, -1, 1, 0, 1, -1, 1, 0, 0, 1, 1, -1, 0, -1, 0, -1, 1, 0, -1, -1, -1, -1, 1, 0, 1, -1, 0, -1, 0, 1, 0, 1, -1, 0, 1, -1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, -1, 0, 0, 1]"
100,20,21,0.0,3,28,0.9794,"[{'group': -1, 'count': 28}, {'group': 1, 'count': 37}, {'group': 0, 'count': 48}]","[0, 1, 0, -1, 0, 0, 1, 0, -1, 1, -1, 0, 1, -1, 1, -1, 0, -1, -1, 1, 0, 1, -1, 0, 0, -1, 1, 0, -1, 1, 0, 1, -1, -1, 0, 0, -1, 1, -1, 1, 0, 1, -1, 1, 0, 0, 1, 1, -1, 0, -1, 0, -1, 1, 0, -1, -1, -1, -1, 1, 0, 1, -1, 0, -1, 0, 1, 0, 1, -1, 0, 1, -1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, -1, 0, 0, 1]"
