cluster,group,count,key-phrases,num-docs,doc-ids
3,-1,33,"['hyperspectral image classification', 'hyperspectral imagery', 'hyperspectral image', 'area extraction', 'vehicle extraction', 'vehicle', 'robust feature extraction', 'robust feature', 'fake datasets', 'image spoofing', 'global feature fusion', 'global latent feature', 'textural information', 'multispectral imagery', 'edge detection', 'refined spatial detail', 'Automatic detection', 'hyperspectral system', 'vehicle detection', 'Nowadays vehicle detection', 'object detection', 'vehicle tracking', 'disaster risk assessment', 'large earthquake occurs', 'bathymetry estimation', 'bathymetry measurement', 'bathymetry', 'Traditional bathymetry measurement', 'ocean depth', 'object detection method', 'color space', 'intelligent navigator', 'stereo vision']",18,"[1, 58, 125, 211, 237, 292, 327, 401, 444, 450, 451, 454, 460, 465, 469, 505, 506, 535]"
3,0,9,"['point cloud labelling', 'urban point cloud', 'point cloud data', 'point cloud', 'point cloud classification', 'cloud classification', 'Aerial point cloud', 'point cloud segmentation', 'cloud segmentation']",4,"[56, 61, 144, 430]"
3,1,21,"['lidar point cloud', 'urban lidar', 'urban lidar point', 'Terrestrial laser scanner', 'laser scanner', 'LiDAR data', 'raw LiDAR data', 'LiDAR data set', 'airborne LIDAR data', 'different LIDAR data', 'LIDAR data need', 'airborne LiDAR datasets', 'LiDAR datasets', 'airborne LiDAR point', 'LiDAR point', 'LiDAR imagery', 'LiDAR data fusion', 'LiDAR scanner', 'classify LiDAR point', 'airborne lidar', 'lidar']",8,"[56, 61, 81, 137, 171, 401, 451, 455]"
3,2,28,"['building detection', 'automated building detection', 'building detection framework', 'building extraction', 'automated building', 'automatic building detection', 'automatic building', 'building size prediction', 'building footprint', 'building size', 'aerial building dataset', 'rural building dataset', 'distinguish building', 'building extraction accuracy', 'fast building detection', 'building contour extraction', 'Automatic building extraction', 'building footprint extraction', 'footprint extraction', 'roof superstructure classification', 'roof superstructure', 'superstructure classification', 'building', 'building area', 'unreinforced masonry building', 'masonry building', 'unreinforced masonry', 'common building typology']",11,"[3, 54, 156, 220, 249, 385, 428, 430, 444, 450, 460]"
3,3,16,"['semantic segmentation', 'image semantic inpainting', 'semantic segmentation task', 'semantic inpainting', 'robust segmentation framework', 'segmentation', 'satellite image segmentation', 'image segmentation', 'superpixel segmentation', 'learning semantic segmentation', 'video semantic segmentation', 'semantic segmentation method', 'semantic segmentation algorithm', 'image semantic segmentation', 'explainable semantic segmentation', 'Automatic semantic segmentation']",9,"[148, 171, 249, 367, 385, 450, 486, 506, 568]"
3,4,8,"['change detection approach', 'change detection method', 'Change detection', 'traditional change detection', 'new change detection', 'damage detection', 'damage detection system', 'change detection result']",3,"[71, 465, 568]"
3,5,21,"['residual network', 'supervised deep learning', 'deep architecture', 'convolutional network', 'convolutional neural network', 'convolutional', 'Deep learning', 'Deep learning paradigm', 'deep learning framework', 'receptive field', 'conditional adversarial term', 'deep representation', 'deep framework', 'convolution neural network', 'neural network', 'deep learning scheme', 'deep learning architecture', 'deep learning technique', 'deep learning algorithm', 'deep learning model', 'artificial neural network']",14,"[1, 19, 37, 81, 156, 220, 256, 292, 367, 389, 437, 454, 465, 505]"
3,6,11,"['feature learning', 'labeled training', 'dataset', 'learned uncertainty estimate', 'large annotated dataset', 'training data', 'annotated dataset', 'transfer learning', 'dictionary learning', 'sparse coding', 'image training']",6,"[37, 238, 256, 378, 504, 505]"
3,7,28,"['Urban Atlas land', 'urban area extraction', 'unsupervised urban area', 'outdoor urban data', 'urban climate', 'urban environment', 'sensed urban data', 'urban area', 'urban land cover', 'urban tree coverage', 'urban land', 'basemaps', 'Accurate urban area', 'urban area information', 'urban structure', 'urban planning', 'geographic information system', 'urban development', 'Historical Cityscape', 'Cityscape', 'urban morphology complexity', 'urban morphology', 'urban planning process', 'urban mapping', 'accurate urban mapping', 'digital urban data', 'urban intelligent navigator', 'urban intelligent']",17,"[19, 58, 61, 99, 125, 156, 186, 238, 242, 249, 327, 389, 428, 444, 455, 465, 535]"
3,8,7,"['SAR image', 'SAR image show', 'Spark RDD image', 'SAR mapping', 'SAR mapping approach', 'airborne SAR mapping', 'airborne Synthetic Aperture']",3,"[58, 378, 538]"
3,9,11,"['land classification dataset', 'land classification', 'climate zone mapping', 'climate zone', 'land cover', 'land cover feature', 'digital elevation', 'land cover classification', 'land use land', 'land cover mapping', 'topographic mapping']",7,"[19, 99, 186, 256, 437, 505, 538]"
3,10,14,"['Road centerline extraction', 'complex road network', 'complete road network', 'complex road', 'road network', 'single vehicle extraction', 'classification road extraction', 'road extraction algorithm', 'road extraction method', 'Road extraction', 'classification road', 'road detection', 'road edge detection', 'road infrastructure extraction']",5,"[111, 125, 364, 451, 575]"
3,11,20,"['aerial image dataset', 'unlabeled overhead imagery', 'fake satellite image', 'Satellite image spoofing', 'fake satellite', 'aerial imagery', 'satellite imagery', 'resolution satellite imagery', 'inexpensive satellite imagery', 'remote sensing image', 'satellite image', 'remote sensing', 'aerial image', 'resolution aerial imagery', 'sensed imagery', 'remote sensing community', 'remote sensing scene', 'Landsat imagery', 'deforestation monitoring', 'earth observation application']",14,"[37, 148, 237, 238, 242, 256, 292, 327, 367, 389, 401, 437, 504, 568]"
3,12,6,"['UAV datasets', 'UAV data', 'UAV photogrammetry', 'UAV image', 'UAV aerial video', 'drone']",4,"[238, 249, 486, 535]"
3,13,14,"['binary classification', 'binary classification approach', 'machine learning algorithm', 'binary feature classification', 'classifier', 'classification method', 'support vector machine', 'support vector', 'SVM classifier', 'fuzzy logic', 'fuzzy logic system', 'logic system', 'SVM approach', 'SVM procedure']",8,"[137, 144, 385, 401, 444, 450, 506, 575]"
3,14,6,"['region descriptor extraction', 'region descriptor', 'descriptor extraction', 'shape descriptor', 'area detection', 'shadow detection']",4,"[54, 211, 385, 389]"
3,15,12,"['image classification', 'scene classification', 'computer vision', 'geometric feature', 'object representation', 'object recognition', 'spatial pyramid pooling', 'image classification task', 'scene image classifier', 'Many object detection', 'image classifier', 'object classification']",10,"[37, 99, 125, 144, 211, 220, 378, 504, 505, 575]"
